institution name	HD2018.City location of institution	HD2018.State abbreviation	HD2018.Level of institution	HD2018.Control of institution	HD2018.Highest level of offering	HD2018.Highest degree offered	HD2018.Institution has hospital	HD2018.Historically Black College or University	HD2018.Tribal college	IC2018.Open admission policy	HD2018.Degree of urbanization (Urban-centric locale)	Setting	HD2018.Longitude location of institution	HD2018.Latitude location of institution	HD2018.Data Feedback Report comparison group created by NCES	HD2018.Carnegie Classification 2018: Size and Setting	Size	IC2018.Calendar system	isIvy	State;HBC;Tribal;Ivy	Tuition	Tuition (in-state)	Description	Undergrad Enrollment
Lamar University	Beaumont	Texas	Four or more years	Public	Doctor's degree	Doctor's degree - research/scholarship and professional practice	No	No	No	No	City: Midsize	City	-94.072244	30.042738	"Doctoral/Professional Universities, public"	"Four-year, medium, primarily residential"	medium	Semester	No	Public;No;No;No	#N/A	#N/A	#N/A	#N/A
University of North Texas	Denton	Texas	Four or more years	Public	Doctor's degree	Doctor's degree - research/scholarship and professional practice	No	No	No	No	City: Midsize	City	-97.148422	33.211178	"Doctoral Universities: Highest Research Activity, public/2 of 3"	"Four-year, large, primarily nonresidential"	large	Semester	No	Public;No;No;No	#N/A	#N/A	#N/A	#N/A
Our Lady of the Lake University	San Antonio	Texas	Four or more years	Private not-for-profit	Doctor's degree	Doctor's degree - research/scholarship and professional practice	No	No	No	No	City: Large	City	-98.54365	29.426194	"Doctoral/Professional Universities, private not-for-profit/3 of 3"	"Four-year, small, primarily residential"	small	Semester	No	Private not-for-profit;No;No;No	#N/A	#N/A	#N/A	#N/A
The University of Texas Rio Grande Valley	Edinburg	Texas	Four or more years	Public	Doctor's degree	Doctor's degree - research/scholarship and professional practice	Yes	No	No	No	City: Small	City	-98.173567	26.306759	"Doctoral Universities: Higher Research Activity, public/1 of 3"	"Four-year, large, primarily nonresidential"	large	Semester	No	Public;No;No;No	#N/A	#N/A	#N/A	#N/A
St. Mary's University	San Antonio	Texas	Four or more years	Private not-for-profit	Doctor's degree	Doctor's degree - research/scholarship and professional practice	No	No	No	No	City: Large	City	-98.562778	29.453244	"Masters Colleges and Universities (larger programs), private not-for-profit/3 of 5"	"Four-year, medium, highly residential"	medium	Semester	No	Private not-for-profit;No;No;No	#N/A	#N/A	#N/A	#N/A
Southern Methodist University	Dallas	Texas	Four or more years	Private not-for-profit	Doctor's degree	Doctor's degree - research/scholarship and professional practice	No	No	No	No	Suburb: Large	Suburb	-96.783365	32.843612	"Doctoral Universities: Higher Research Activity, private not-for-profit"	"Four-year, medium, highly residential"	medium	Semester	No	Private not-for-profit;No;No;No	50358	#N/A	"Despite its name, this private university in Dallas is a secular institution when it comes to classes. The school was founded by what became the United Methodist Church in 1911, but it is now home to students of many religious affiliations. Outdoor activities are plentiful in Dallas, a city that boasts an average of 232 days of sunshine a year. Students can check out the Dallas International Film Festival, which draws 40,000 viewers annually, or explore the more than 400 parks in the city. Students are required to live on campus for their first two years at SMU. The campus is also home to the George W. Bush Presidential Center, which comprises a Bush administration museum, library and public policy institute, and frequently hosts speakers. The SMU Mustangs sports teams play in the Division I American Athletic Conference, supported by mascot Peruna, a black stallion Shetland pony. About 2,000 students are involved in SMU Greek life, and all students can participate in annual events such as the Festival of Lights, a candlelit assembly on the school's Main Quad each December, and the Mane Event, a celebration of spring complete with bands and food."	6411
Texas State University	San Marcos	Texas	Four or more years	Public	Doctor's degree	Doctor's degree - research/scholarship and professional practice	No	No	No	No	Suburb: Small	Suburb	-97.943029	29.888885	"Doctoral Universities: Higher Research Activity, public/1 of 3"	"Four-year, large, primarily nonresidential"	large	Semester	No	Public;No;No;No	#N/A	#N/A	#N/A	#N/A
The University of Texas Health Science Center at San Antonio	San Antonio	Texas	Four or more years	Public	Doctor's degree	Doctor's degree - research/scholarship and professional practice	No	No	No	Not applicable	City: Large	City	-98.575655	29.508107	"Medical schools and medical centers, public"	"Four-year, small, primarily nonresidential"	small	Semester	No	Public;No;No;No	#N/A	#N/A	#N/A	#N/A
The University of Texas Medical Branch	Galveston	Texas	Four or more years	Public	Doctor's degree	Doctor's degree - research/scholarship and professional practice	Yes	No	No	Not applicable	Town: Fringe	Town	-94.775956	29.310758	"Medical schools and medical centers, public"	"Four-year, small, primarily residential"	small	Semester	No	Public;No;No;No	#N/A	#N/A	#N/A	#N/A
Texas A & M University College Station	College Station	Texas	Four or more years	Public	Doctor's degree	Doctor's degree - research/scholarship and professional practice	No	No	No	No	City: Midsize	City	-96.336475	30.618726	"Doctoral Universities: Highest Research Activity, public/1 of 3"	"Four-year, large, primarily residential"	large	Semester	No	Public;No;No;No	28768	10176	"Ready to be an Aggie? All students assume the nickname at Texas A&M, an academic and athletic powerhouse in central Texas. Once an all-men's school called the Agricultural and Mechanical College - now shortened to A&M - the university today is coed and has offers a wide variety of majors and activities. Students can choose from more than 800 clubs and organizations, including nearly 60 fraternities and sororities. About 10 percent of students go Greek.  students, about 25 percent, play in Texas A&M intramural sports leagues, one of the largest programs in the country. The school's varsity sports compete in the NCAA Division I Southeastern Conference, cheered on by mascot Reveille VIII, a collie. Miss Rev, as the collie is known, is also the highest-ranking member in the school's Cadet Corps, the largest ROTC program in the nation (not including programs at service academies). First-year students interested in community service can get involved right away through the Freshmen in Service and Hosting program (FISH). All students can give back during The Big Event, the largest single-day, student-run volunteer effort in the country in which more than 15,000 Aggies work to improve the nearby cities of College Station and Bryan. For many students, these communities are also home; freshmen are not required to live on campus and many choose to live in College Station or Bryan."	48960
The University of Texas at Arlington	Arlington	Texas	Four or more years	Public	Doctor's degree	Doctor's degree - research/scholarship and professional practice	No	No	No	No	City: Large	City	-97.11296	32.729718	"Doctoral Universities: Highest Research Activity, public/1 of 3"	"Four-year, large, primarily residential"	large	Semester	No	Public;No;No;No	#N/A	#N/A	#N/A	#N/A
The University of Texas at Austin	Austin	Texas	Four or more years	Public	Doctor's degree	Doctor's degree - research/scholarship and professional practice	Yes	No	No	No	City: Large	City	-97.738273	30.282825	"Doctoral Universities: Highest Research Activity, public/1 of 3"	"Four-year, large, primarily nonresidential"	large	Semester	No	Public;No;No;No	34676	9806	"Everything is bigger in Texas, as the saying goes, and it holds true at the University of Texas--Austin, one of the largest schools in the nation. The school has one of the biggest Greek systems in the country, two of the largest student publications and more than 900 clubs and organizations for students. The UT--Austin sports teams are notorious competitors in the Division I Big 12 Conference, supported by mascot Bevo the Longhorn. The UT Tower, a lofty campus structure, is lit in the school's burnt orange color after notable sports achievements and glows a äóÖ#1' when a team wins a national championship. Freshmen do not have to live on campus, and may choose to live in downtown Austin, situated about a quarter mile away. The vibrant city is known for its music, food, outdoor activities and nightlife, and students can travel for free on the capitol Metro buses with proof of ID."	39619
The University of Texas at Dallas	Richardson	Texas	Four or more years	Public	Doctor's degree	Doctor's degree - research/scholarship and professional practice	No	No	No	No	City: Midsize	City	-96.749702	32.984673	"Doctoral Universities: Highest Research Activity, public/3 of 3"	"Four-year, large, primarily residential"	large	Semester	No	Public;No;No;No	33654	12162	"Founded in 1969, University of Texas--Dallas is a public institution. University of Texas--Dallas follows a semester-based academic calendar and its admissions are considered more selective."	15575
The University of Texas at El Paso	El Paso	Texas	Four or more years	Public	Doctor's degree	Doctor's degree - research/scholarship and professional practice	No	No	No	No	City: Large	City	-106.504098	31.77015	"Doctoral Universities: Highest Research Activity, public/3 of 3"	"Four-year, large, primarily nonresidential"	large	Semester	No	Public;No;No;No	#N/A	#N/A	#N/A	#N/A
The University of Texas at Tyler	Tyler	Texas	Four or more years	Public	Doctor's degree	Doctor's degree - research/scholarship and professional practice	No	No	No	No	City: Midsize	City	-95.254337	32.315772	"Doctoral/Professional Universities, public"	"Four-year, medium, primarily nonresidential"	medium	Semester	No	Public;No;No;No	#N/A	#N/A	#N/A	#N/A
Texas Christian University	Fort Worth	Texas	Four or more years	Private not-for-profit	Doctor's degree	Doctor's degree - research/scholarship and professional practice	No	No	No	No	City: Large	City	-97.364758	32.70961	"Doctoral Universities: Higher Research Activity, private not-for-profit"	"Four-year, large, primarily residential"	large	Semester	No	Private not-for-profit;No;No;No	42670	#N/A	"Texas Christian University is the biggest religious university associated with the Christian Church (Disciples of Christ) and is open to students of any faith. There are more than 20 religious organizations for students to join, among more than 200 others. Greek life is a popular option, with close to 40 percent of the student body involved in more than 30 fraternities and sororities. Freshmen and sophomores must live on campus, unless they are older than 21 or commute from a parent's home. The Horned Frog sports teams are members of the NCAA Division I Big XII Conference and are especially competitive in football. The unusual mascot is a small lizard and is also the official state reptile of Texas. Volunteer activities are a particularly big draw for students, and the school's Center for Community Involvement & Service-Learning coordinates excursions like service trips over spring break. The campus is about five miles from downtown Fort Worth, a historic area that still has an Old West feel. Students can check out live bull riding shows at Billy Bob's, a restaurant that is billed as the world's largest honky-tonk, or catch a rodeo at the Cowtown Coliseum. Dallas is about 35 miles away."	8894
Texas Southern University	Houston	Texas	Four or more years	Public	Doctor's degree	Doctor's degree - research/scholarship and professional practice	No	Yes	No	No	City: Large	City	-95.361113	29.721046	"Doctoral Universities: Higher Research Activity, public/3 of 3"	"Four-year, medium, primarily nonresidential"	medium	Semester	No	Public;Yes;No;No	#N/A	#N/A	#N/A	#N/A
Texas Tech University	Lubbock	Texas	Four or more years	Public	Doctor's degree	Doctor's degree - research/scholarship and professional practice	No	No	No	No	City: Large	City	-101.874783	33.583448	"Doctoral Universities: Highest Research Activity, public/2 of 3"	"Four-year, large, primarily residential"	large	Semester	No	Public;No;No;No	22861	10622	"Texas Tech University is a large research institution in the college town of Lubbock. Students are required to live on campus until they have completed 30 hours of course work. The Texas Tech Red Raiders sports teams compete in the NCAA Big 12 Conference and are particularly competitive in football and basketball. Students can join more than 450 student organizations, including Texas Tech's large Greek community, made up of about 50 fraternities and sororities. The university also runs research centers and institutes, including the National Wind Institute. The school offers a wide variety of graduate programs, including degrees through the Jerry S. Rawls College of Business Administration, the Edward E. Whitacre Jr. College of Engineering and the School of Law. Notable alumni of Texas Tech University include Ed Whitacre, former chairman and CEO of both AT&T and General Motors and the namesake of the engineering school; Grammy-nominated country singer Pat Green; and actor Brad Leland, who appeared in both the feature film and television series ""Friday Night Lights."	29237
Texas Woman's University	Denton	Texas	Four or more years	Public	Doctor's degree	Doctor's degree - research/scholarship and professional practice	No	No	No	No	City: Midsize	City	-97.127842	33.226211	"Doctoral/Professional Universities, public"	"Four-year, large, primarily nonresidential"	large	Semester	No	Public;No;No;No	#N/A	#N/A	#N/A	#N/A
The University of Texas Health Science Center at Houston	Houston	Texas	Four or more years	Public	Doctor's degree	Doctor's degree - research/scholarship and professional practice	Yes	No	No	Not applicable	City: Large	City	-95.403183	29.702873	"Medical schools and medical centers, public"	"Four-year, medium, primarily nonresidential"	medium	Semester	No	Public;No;No;No	#N/A	#N/A	#N/A	#N/A
Texas Tech University Health Sciences Center	Lubbock	Texas	Four or more years	Public	Doctor's degree	Doctor's degree - research/scholarship and professional practice	Yes	No	No	Not applicable	City: Large	City	-101.891915	33.589284	"Medical schools and medical centers, public"	"Four-year, medium, primarily nonresidential"	medium	Semester	No	Public;No;No;No	#N/A	#N/A	#N/A	#N/A
Brigham Young University Provo	Provo	Utah	Four or more years	Private not-for-profit	Doctor's degree	Doctor's degree - research/scholarship and professional practice	No	No	No	No	City: Midsize	City	-111.649281	40.250851	"Doctoral Universities: Higher Research Activity, private not-for-profit"	"Four-year, large, primarily nonresidential"	large	Semester	No	Private not-for-profit;No;No;No	5300	#N/A	"Student life centers on religion and responsibility at Brigham Young University--Provo, a school founded and supported by The Church of Jesus Christ of Latter-day Saints (also known as the Mormon church). There are more than 70 clubs on campus, which meet Tuesday evenings. Each Wednesday, a student volunteer coalition completes community service projects around campus. There is no Greek system at BYU. The BYU Cougars mainly compete in the NCAA Division I West Coast Conference. The football team is known for the number of players drafted by the NFL: more than 70 in the past 30 years. All BYU students can participate in the intramural sports, and about 25,000 choose to do so. Freshmen do not have to live on the Provo, Utah, campus, though the school encourages it. All students live according to a strict honor code, which prohibits - among other things - camping with members of the opposite sex and growing a beard without a doctor's approval. Extramarital and gay sex are also prohibited. Situated at the base of the Wasatch Mountains, the campus is close to plentiful climbing, hiking and biking opportunities. Provo is also home to the Missionary Training Center, where students of the Latter-day Saints faith can enroll to learn and grow before serving at least 18 months around the world."	30221
Utah State University	Logan	Utah	Four or more years	Public	Doctor's degree	Doctor's degree - research/scholarship and professional practice	No	No	No	No	City: Small	City	-111.81391	41.740748	"Doctoral Universities: Higher Research Activity, public/1 of 3"	"Four-year, large, primarily nonresidential"	large	Semester	No	Public;No;No;No	19772	6866	"Founded in 1888, Utah State University is a public institution. Utah State University offers a Greek system, where 2 percent of the student body is involved in a sorority and 2 percent is involved in a fraternity."	25259
University of Utah	Salt Lake City	Utah	Four or more years	Public	Doctor's degree	Doctor's degree - research/scholarship and professional practice	Yes	No	No	No	City: Midsize	City	-111.846044	40.762484	"Doctoral Universities: Highest Research Activity, public/2 of 3"	"Four-year, large, primarily nonresidential"	large	Semester	No	Public;No;No;No	27039	8518	"The University of Utah, known as the U of U or simply The U, is a Salt Lake City center of academics, powerhouse sports and research. Undergraduates interested in university housing can choose from traditional residence halls, two- and four-bedroom apartments and common-interest living communities. The Utah sports teams, the Utes, compete in the NCAA Division I PAC-12 Conference and are rivals with Brigham Young University's teams. The U of U runs a variety of research centers and institutes, including the Brain Institute, the American West Center and the Center for High Performance Computing. The University of Utah's well-regarded S.J. Quinney College of Law, College of Engineering, College of Education and David Eccles School of Business all offer degree programs for graduate students. The U of U School of Medicine, which is particularly well regarded for its primary care program, is the only medical school in the state. Notable alumni of the University of Utah include Alan Ashton, co-founder of WordPerfect; Nolan Bushnell, founder of both Chuck E. Cheese's and video game company Atari Inc.; and John Warnock, co-founder of Adobe Systems Inc."	23794
University of Vermont	Burlington	Vermont	Four or more years	Public	Doctor's degree	Doctor's degree - research/scholarship and professional practice	No	No	No	No	City: Small	City	-73.196646	44.477325	"Doctoral Universities: Higher Research Activity, public/2 of 3"	"Four-year, large, highly residential"	large	Semester	No	Public;No;No;No	40364	17300	"Nestled between the Adirondack and Green Mountains is the University of Vermont, a quasi-public school founded in 1791. It is known colloquially as UVM, which is Latin for Universitas Viridis Montis, or University of the Green Mountains. Students who want to take advantage of the surrounding nature in Burlington, Vermont, can rent skis, snowshoes, canoes and camping equipment on campus. Students don't have to go far for an adventure, though; UVM has an adventure ropes course and an indoor rock climbing wall. There are more than 170 student organizations on campus, including about 15 fraternities and sororities. Fewer than 10 percent of students go Greek. Freshmen and sophomores must live on campus. The Catamounts athletic teams compete in the NCAA Division I America East Conference, cheered on by a mountain cat mascot named Rally. In Burlington, students can explore the outdoor Church Street Marketplace, a collection of restaurants and boutiques, or relax on the shores of Lake Champlain. For a more urban experience, Montreal and Boston are about 100 and 220 miles away, respectively."	10973
College of William and Mary	Williamsburg	Virginia	Four or more years	Public	Doctor's degree	Doctor's degree - research/scholarship and professional practice	No	No	No	No	Suburb: Small	Suburb	-76.708214	37.269489	"Doctoral Universities: Higher Research Activity, public/3 of 3"	"Four-year, medium, highly residential"	medium	Semester	No	Public;No;No;No	41718	18687	"The College of William and Mary is second oldest college in the country. It was founded by King William III and Queen Mary II of England. The school's NCAA Division I varsity sports teams, known as the ""Tribe,"" participate in the Colonial Athletic Association. Students are involved with the Phi Beta Kappa fraternity, the nation's first academic Greek society, as well as other fraternities and sororities on campus. All freshmen are required to live on campus and the majority of upperclassmen live on campus as well. The school is located in historic downtown Williamsburg, Va. "	6301
Regent University	Virginia Beach	Virginia	Four or more years	Private not-for-profit	Doctor's degree	Doctor's degree - research/scholarship and professional practice	No	No	No	No	City: Large	City	-76.194627	36.801173	"Doctoral/Professional Universities, private not-for-profit/1 of 3"	"Four-year, medium, primarily nonresidential"	medium	Semester	No	Private not-for-profit;No;No;No	#N/A	#N/A	#N/A	#N/A
George Mason University	Fairfax	Virginia	Four or more years	Public	Doctor's degree	Doctor's degree - research/scholarship and professional practice	No	No	No	No	Suburb: Large	Suburb	-77.307428	38.829976	"Doctoral Universities: Highest Research Activity, public/2 of 3"	"Four-year, large, primarily residential"	large	Semester	No	Public;No;No;No	32582	11300	"George Mason University has three suburban campus locations near the District of Columbia. The school's Fairfax, Virginia, campus is the hub of undergraduate student life. Students can live in traditional coed residence halls, suites and apartments. The school has a sizable commuter population, but there are many ways for all students to get involved. There are more than two dozen fraternities and sororities, as well as hundreds of student clubs and organizations. The Patriot Activities Council plans major events, like Homecoming and Welcome Week. The school's Patriots sports teams are members of the NCAA Division I Atlantic 10 Conference. The university also has a number of graduate schools and programs, including the well-regarded George Mason School of Law."	23062
Hampton University	Hampton	Virginia	Four or more years	Private not-for-profit	Doctor's degree	Doctor's degree - research/scholarship and professional practice	No	Yes	No	No	City: Midsize	City	-76.339161	37.019944	"Doctoral Universities: Higher Research Activity, private not-for-profit"	"Four-year, medium, highly residential"	medium	Semester	No	Private not-for-profit;Yes;No;No	#N/A	#N/A	#N/A	#N/A
James Madison University	Harrisonburg	Virginia	Four or more years	Public	Doctor's degree	Doctor's degree - research/scholarship and professional practice	No	No	No	No	City: Small	City	-78.870484	38.436311	"Masters Colleges and Universities (larger programs), public/1 of 5"	"Four-year, large, primarily residential"	large	Semester	No	Public;No;No;No	#N/A	#N/A	#N/A	#N/A
Liberty University	Lynchburg	Virginia	Four or more years	Private not-for-profit	Doctor's degree	Doctor's degree - research/scholarship and professional practice	No	No	No	No	City: Small	City	-79.18222	37.350232	"Doctoral/Professional Universities, private not-for-profit/1 of 3"	"Four-year, large, primarily nonresidential"	large	Semester	No	Private not-for-profit;No;No;No	#N/A	#N/A	#N/A	#N/A
University of Lynchburg	Lynchburg	Virginia	Four or more years	Private not-for-profit	Doctor's degree	Doctor's degree - research/scholarship and professional practice	No	No	No	Yes	City: Small	City	-79.181653	37.399774	"Masters Colleges and Universities (medium programs), private not-for-profit/1 of 4"	"Four-year, small, highly residential"	small	Semester	No	Private not-for-profit;No;No;No	#N/A	#N/A	#N/A	#N/A
Norfolk State University	Norfolk	Virginia	Four or more years	Public	Doctor's degree	Doctor's degree - research/scholarship and professional practice	No	Yes	No	No	City: Midsize	City	-76.261375	36.848429	"Masters Colleges and Universities (medium programs), public/1 of 2"	"Four-year, medium, highly residential"	medium	Semester	No	Public;Yes;No;No	#N/A	#N/A	#N/A	#N/A
Old Dominion University	Norfolk	Virginia	Four or more years	Public	Doctor's degree	Doctor's degree - research/scholarship and professional practice	No	No	No	No	City: Midsize	City	-76.30666	36.886418	"Doctoral Universities: Higher Research Activity, public/1 of 3"	"Four-year, large, primarily nonresidential"	large	Semester	No	Public;No;No;No	27028	10048	"Originally created as a division of the College of William and Mary, Old Dominion University is now an independent institution in Norfolk, Virginia. Students have more than 100 academic programs to choose from and, outside of class, more than 300 clubs and organizations to consider. Freshmen aren't required to live on campus. The ODU sports teams compete in the NCAA Division I Conference USA. The university is also committed to research, operating the Center for Accelerator Science and the Virginia Modeling, Analysis and Simulation Center. Old Dominion University also offers a wide variety of graduate degree programs, including those in the Strome College of Business and the Darden College of Education. Notable alumni of Old Dominion University include Ben Bailey, former host of the TV game show ""Cash Cab,"" and Jay Harris, ESPN ""SportsCenter"" anchor."	20101
Shenandoah University	Winchester	Virginia	Four or more years	Private not-for-profit	Doctor's degree	Doctor's degree - research/scholarship and professional practice	No	No	No	No	City: Small	City	-78.157433	39.167355	"Doctoral/Professional Universities, private not-for-profit/2 of 3"	"Four-year, medium, highly residential"	medium	Semester	No	Private not-for-profit;No;No;No	31322	#N/A	"Shenandoah University is a private institution that was founded in 1875. It has a total undergraduate enrollment of 2,010, its setting is city, and the campus size is 315 acres. It utilizes a semester-based academic calendar. Shenandoah University's ranking in the 2017 edition of Best Colleges is National Universities, 220. Its tuition and fees are $31,322 (2016-17)."	2010
Virginia Polytechnic Institute and State University	Blacksburg	Virginia	Four or more years	Public	Doctor's degree	Doctor's degree - research/scholarship and professional practice	No	No	No	No	City: Small	City	-80.423675	37.229012	"Doctoral Universities: Highest Research Activity, public/2 of 3"	"Four-year, large, primarily residential"	large	Semester	No	Public;No;No;No	29371	12852	"At Virginia Tech, a former military institute with its background in the sciences, students are encouraged to ""invent the future."" Students are known as Hokies, a term that was the original rally cry when the school was known as the Virginia Agricultural and Mechanical College and Polytechnic Institute. Sports teams, also known as the Hokies, compete in the NCAA Division I Atlantic Coast Conference, and the school mascot is the HokieBird. Virginia Tech is settled in Blacksburg, a typical college town full of restaurants, bars and clubs. Students account for more than half the total residents in Blacksburg, and they dominate the town's public Blacksburg Transit bus system, which is free for Hokies. On campus, students can go bowling, play pool or try out video games in the BreakZONE. There are also more than 600 clubs and organizations, including a large Greek system of more than 50 fraternities and sororities. Freshmen must live on campus, which puts them in close proximity to the school's renowned dining facilities. Students can order steak and lobster at Virginia Tech's West End Market, or grab a meal from on-campus chain restaurants, including Au Bon Pain and Pizza Hut."	25384
Virginia Commonwealth University	Richmond	Virginia	Four or more years	Public	Doctor's degree	Doctor's degree - research/scholarship and professional practice	Yes	No	No	No	City: Midsize	City	-77.452697	37.54962	"Doctoral Universities: Highest Research Activity, public/2 of 3"	"Four-year, large, primarily nonresidential"	large	Semester	No	Public;No;No;No	31608	13076	"Virginia Commonwealth University is located in Richmond. Cheering on the school's Division I sports teams, the VCU Rams, is a popular outlet for students. There are hundreds of clubs and organizations students can join, as well as about 40 fraternities and sororities. About 7 percent of VCU students are involved in Greek life. For off-campus recreation, students can take advantage of the school's Outdoor Adventure Program, which coordinates kayaking, backpacking and whitewater rafting trips, among other activities. VCU has a variety of academic departments for graduate students, too, including its well-regarded School of the Arts, School of Education, School of Medicine and School of Social Work. The university also has a campus in Qatar that focuses on arts programs."	24051
University of Virginia Main Campus	Charlottesville	Virginia	Four or more years	Public	Doctor's degree	Doctor's degree - research/scholarship and professional practice	Yes	No	No	No	Suburb: Small	Suburb	-78.503428	38.035665	"Doctoral Universities: Highest Research Activity, public/2 of 3"	"Four-year, large, primarily residential"	large	Semester	No	Public;No;No;No	45066	15722	"Founded by Thomas Jefferson, the University of Virginia is located in Charlottesville. It's referred to among insiders as Mr. Jefferson's University or simply The University. Only first-year students are required to live on campus, and many upperclassmen live in off-campus apartments or fraternity and sorority houses. Greek life is prominent at UVA with a membership that includes approximately 30 percent of the student body. The Cavaliers, known unofficially as Wahoos or äóÖHoos, are members of the NCAA Division I Atlantic Coast Conference and are well known for their consistently dominant men's and women's lacrosse teams."	16736
Gonzaga University	Spokane	Washington	Four or more years	Private not-for-profit	Doctor's degree	Doctor's degree - research/scholarship and professional practice	No	No	No	No	City: Midsize	City	-117.400625	47.666531	"Doctoral/Professional Universities, private not-for-profit/1 of 3"	"Four-year, medium, highly residential"	medium	Semester	No	Private not-for-profit;No;No;No	#N/A	#N/A	#N/A	#N/A
Seattle University	Seattle	Washington	Four or more years	Private not-for-profit	Doctor's degree	Doctor's degree - research/scholarship and professional practice	No	No	No	No	City: Large	City	-122.318851	47.608859	"Doctoral/Professional Universities, private not-for-profit/1 of 3"	"Four-year, medium, primarily residential"	medium	Quarter	No	Private not-for-profit;No;No;No	#N/A	#N/A	#N/A	#N/A
Washington State University	Pullman	Washington	Four or more years	Public	Doctor's degree	Doctor's degree - research/scholarship and professional practice	No	No	No	No	Town: Distant	Town	-117.158168	46.730448	"Doctoral Universities: Highest Research Activity, public/2 of 3"	"Four-year, large, primarily residential"	large	Semester	No	Public;No;No;No	25673	11041	"The main campus of Washington State University is located in Pullman, though there are also regional locations throughout the state in Spokane and the Tri-Cities, as well as in Vancouver. The school has a sizeable Greek community that recruits about 20 percent of the student population. In addition to fraternities and sororities, there are about 300 other student clubs and organizations to check out. The school's sports teams, including the Washington State University football squad, compete in the NCAA Division I Pac-12 Conference. Freshmen must live on campus, unless they're older than 20 or are married. Students with children or who are enrolled in graduate school may apply to live in university-owned apartments. The university is committed to research, and there are opportunities for students to get involved in projects as undergraduates. Washington State also offers a wide variety of graduate school options, including degree programs through the College of Business, the College of Engineering and the College of Education. Notable alumni of Washington State University include broadcast journalist Edward R. Murrow and ""Far Side"" cartoonist Gary Larson."	24470
University of Washington Seattle Campus	Seattle	Washington	Four or more years	Public	Doctor's degree	Doctor's degree - research/scholarship and professional practice	Yes	No	No	No	City: Large	City	-122.30514	47.65538	"Doctoral Universities: Highest Research Activity, public/1 of 3"	"Four-year, large, primarily residential"	large	Quarter	No	Public;No;No;No	34791	10753	"Located in the University District neighborhood (known as the U District) just north of downtown Seattle, the University of Washington is a cutting-edge research university with a long-standing history as one of the oldest public institutions on the West Coast. Students can join one of the school's 500-plus student organizations, including about 50 sororities and fraternities, or can start a brand new club with at least four other students. University of Washington is known as a commuter school, and freshmen are not required to live on campus. Housing is not guaranteed for any student. For those that do reside in the residence halls, the university stresses ""living green"" through energy conservation and recycling. On the sports fields, the school's varsity athletes are competitive in the NCAA Division I Pac-12 Conference. The football team, in particular, is a traditional league stand-out. The teams are represented by two mascots: one, a costumed student known as Harry the Husky Dawg, and the other, Dubs, a live Alaskan husky. The university gym is free for students seeking a workout."	31063
Marshall University	Huntington	West Virginia	Four or more years	Public	Doctor's degree	Doctor's degree - research/scholarship and professional practice	No	No	No	No	City: Small	City	-82.428964	38.422482	"Doctoral Universities: Higher Research Activity, public/2 of 3"	"Four-year, large, primarily residential"	large	Semester	No	Public;No;No;No	#N/A	#N/A	#N/A	#N/A
West Virginia University	Morgantown	West Virginia	Four or more years	Public	Doctor's degree	Doctor's degree - research/scholarship and professional practice	No	No	No	No	City: Small	City	-79.954391	39.634371	"Doctoral Universities: Highest Research Activity, public/2 of 3"	"Four-year, large, primarily nonresidential"	large	Semester	No	Public;No;No;No	21432	7632	"West Virginia University is a public institution located along the Monongahela River in the small city of Morgantown in the northern part of the state. WVU offers nearly 200 bachelor's, master's, doctoral and professional programs within 15 colleges. A few of the graduate degrees available include those in the College of Business and Economics, the College of Engineering and Mineral Resources and the School of Medicine, which is home to the highly ranked rural medicine and primary care programs. Students who want to take a break from academics for the weekend can take a road trip from the WVU campus, situated near the Pennsylvania border, to the cities of Pittsburgh, Cleveland or Washington. Students at WVU can help others through the Center for Service and Learning, which gives class credit for community service and promotes events such as Random Acts of Kindness Week. There are also more than 400 student organizations for students to try, including nearly 30 Greek chapters, as well as club and intramural sports. For varsity athletics, students can choose from nearly 20 WVU Mountaineers teams, which compete in the NCAA Division I Big 12 Conference. Notable WVU alumni include Don Knotts, better known as the gawky deputy Barney Fife in ""The Andy Griffith Show."	22498
Concordia University Wisconsin	Mequon	Wisconsin	Four or more years	Private not-for-profit	Doctor's degree	Doctor's degree - research/scholarship and professional practice	No	No	No	No	Suburb: Large	Suburb	-87.91552	43.253387	"Doctoral/Professional Universities, private not-for-profit/2 of 3"	"Four-year, medium, primarily residential"	medium	Semester	No	Private not-for-profit;No;No;No	#N/A	#N/A	#N/A	#N/A
Edgewood College	Madison	Wisconsin	Four or more years	Private not-for-profit	Doctor's degree	Doctor's degree - research/scholarship and professional practice	No	No	No	No	City: Large	City	-89.422884	43.057059	"Doctoral/Professional Universities, private not-for-profit/3 of 3"	"Four-year, small, primarily residential"	small	Semester	No	Private not-for-profit;No;No;No	27530	#N/A	"Edgewood College is a private institution that was founded in 1927. It has a total undergraduate enrollment of 1,813, its setting is city, and the campus size is 55 acres. It utilizes a semester-based academic calendar. Edgewood College's ranking in the 2017 edition of Best Colleges is National Universities, 171. Its tuition and fees are $27,530 (2016-17)."	1813
